Mês/Ano,Sexo,Faixa etária,Cor/raça,Escolaridade,Ocupação,Renda familiar (SM),Bairro,Zona,Saúde,Segurança Pública,Conservação Urbana e Patrimonial,Educação,Preservação ambiental,Assistência Social,Transportes,Saneamento básico,Fator de maior preocupação
01/2024,Masculino,25-29,Parda,Médio completo,Estudante,2–3 SM,Catete,Zona Sul,Bom,Ótimo,Regular,Ruim,Ruim,Regular,Bom,Ruim,rede de transportes
01/2024,Feminino,25-29,Parda,Fundamental completo,Desempregado,2–3 SM,Grajaú,Zona Norte,Bom,Ótimo,Regular,Bom,Ótimo,Regular,Bom,Bom,corrupção
01/2024,Feminino,60+,Parda,Superior completo,Empregado c/ carteira,1–2 SM,Pilares,Zona Norte,Regular,Regular,Regular,Regular,Regular,Bom,Regular,Regular,questões climáticas
01/2024,Feminino,25-29,Branca,Médio completo,Servidor público,3–5 SM,Lagoa,Zona Sul,Regular,Ótimo,Ruim,Regular,Ruim,Péssimo,Regular,Regular,crime e violência
01/2024,Masculino,25-29,Branca,Fundamental completo,Autônomo,2–3 SM,Praça Seca,Zona Oeste,Ruim,Péssimo,Ruim,Regular,Regular,Péssimo,Regular,Regular,educação
01/2024,Masculino,50-59,Branca,Pós-graduação,Empregado s/ carteira,5–10 SM,Rio Comprido,Centro,Péssimo,Bom,Bom,Ruim,Regular,Regular,Ruim,Regular,rede de transportes
01/2024,Masculino,30-39,Branca,Médio completo,Estudante,Até 1 SM,Anil,Zona Oeste,Regular,Regular,Regular,Péssimo,Regular,Regular,Ótimo,Regular,saúde
01/2024,Feminino,50-59,Branca,Fundamental incompleto,Empregado c/ carteira,3–5 SM,Flamengo,Zona Sul,Regular,Bom,Péssimo,Bom,Péssimo,Regular,Regular,Péssimo,pobreza e desigualdade
01/2024,Feminino,16-24,Parda,Médio completo,Estudante,3–5 SM,Campo Dos Afonsos,Zona Oeste,Regular,Regular,Regular,Ruim,Regular,Regular,Ótimo,Regular,rede de transportes
01/2024,Feminino,30-39,Branca,Médio incompleto,Empregado c/ carteira,3–5 SM,Saúde,Centro,Péssimo,Regular,Bom,Bom,Ruim,Bom,Bom,Bom,pobreza e desigualdade
01/2024,Masculino,16-24,Branca,Superior completo,Aposentado,5–10 SM,Catumbi,Centro,Ruim,Ótimo,Regular,Regular,Péssimo,Regular,Regular,Regular,corrupção
01/2024,Feminino,16-24,Branca,Superior completo,Autônomo,3–5 SM,Grajaú,Zona Norte,Péssimo,Regular,Péssimo,Ótimo,Ruim,Ruim,Ruim,Regular,saúde
01/2024,Feminino,60+,Parda,Pós-graduação,Desempregado,5–10 SM,Flamengo,Zona Sul,Bom,Regular,Ruim,Bom,Regular,Ótimo,Bom,Regular,inflação
01/2024,Masculino,16-24,Branca,Médio completo,Empregado c/ carteira,2–3 SM,Humaitá,Zona Sul,Ruim,Péssimo,Ruim,Regular,Ótimo,Regular,Regular,Péssimo,desemprego
01/2024,Masculino,30-39,Parda,Médio completo,Desempregado,2–3 SM,Méier,Zona Norte,Bom,Bom,Bom,Regular,Regular,Ruim,Regular,Ruim,pobreza e desigualdade
